Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak/rev [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [0]	Total left angle to force peak [0]	Right angle to force peak [0]	Total right angle to force peak [0]
1	0:00:00.42	0:00:00.42	1	143	143	143	3	77,493	77,493	9	9,041	150	150	150	581	581	797	581	99	99	00:46.45	00:46.45	1478	1478	1478	15,23	15,23	618	0,6	2588	2,6	52	52	48	48	00:00.13	00:00.13	00:00.12	00:00.12	106	106	108	108
2	0:00:00.39	0:00:00.81	2	154	154	148	3	78,532	77,993	9	17,548	151	151	150	559	581	765	571	95	97	00:45.84	00:46.15	1532	1532	1504	15,79	15,50	594	1,2	2487	5,1	54	53	46	47	00:00.13	00:00.13	00:00.14	00:00.13	117	111	133	120
3	0:00:00.39	0:00:01.20	3	154	154	150	3	76,848	77,621	8	25,874	152	152	150	527	581	714	557	90	95	00:46.84	00:46.37	1445	1532	1485	14,89	15,30	562	1,8	2351	7,4	54	53	46	47	00:00.13	00:00.13	00:00.13	00:00.13	117	113	123	121
4	0:00:00.38	0:00:01.58	4	158	158	152	3	76,807	77,425	8	33,981	152	152	150	513	581	601	546	87	93	00:46.87	00:46.49	1443	1532	1474	14,87	15,20	546	2,3	2288	9,7	49	52	51	48	00:00.11	00:00.12	00:00.12	00:00.12	104	111	114	119
5	0:00:00.38	0:00:01.96	5	158	158	153	3	74,680	76,893	8	41,864	153	153	150	476	581	637	532	81	91	00:48.20	00:46.80	1337	1532	1448	13,78	14,93	508	2,8	2127	11,8	53	53	47	47	00:00.13	00:00.12	00:00.12	00:00.12	123	113	114	118
6	0:00:00.39	0:00:02.35	6	154	158	153	3	74,487	76,494	8	49,933	153	153	151	485	581	581	525	82	89	00:48.33	00:47.04	1328	1532	1428	13,69	14,72	518	3,3	2169	14,0	48	52	52	48	00:00.10	00:00.12	00:00.11	00:00.12	95	110	99	115
7	0:00:00.38	0:00:02.73	7	158	158	154	3	75,355	76,335	8	57,887	153	153	151	487	581	643	519	83	88	00:47.77	00:47.14	1370	1532	1420	14,12	14,64	520	3,9	2177	16,2	53	52	47	48	00:00.11	00:00.12	00:00.13	00:00.12	104	110	123	116
8	0:00:00.39	0:00:03.12	8	154	158	154	3	73,330	75,959	8	65,831	153	153	151	465	581	561	513	79	87	00:49.09	00:47.37	1273	1532	1401	13,12	14,45	498	4,4	2083	18,3	52	52	48	48	00:00.10	00:00.11	00:00.10	00:00.12	90	107	95	113
9	0:00:00.39	0:00:03.51	9	154	158	154	3	73,281	75,662	8	73,770	152	153	151	464	581	571	507	79	86	00:49.12	00:47.55	1270	1532	1387	13,10	14,30	497	4,9	2079	20,3	50	52	50	48	00:00.11	00:00.11	00:00.11	00:00.12	104	107	99	112
10	0:00:00.39	0:00:03.90	10	154	158	154	3	72,862	75,382	8	81,664	152	153	151	457	581	580	502	78	85	00:49.40	00:47.73	1251	1532	1373	12,89	14,16	489	5,3	2049	22,4	51	52	49	48	00:00.11	00:00.11	00:00.12	00:00.12	104	107	108	111
