Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak/rev [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [0]	Total left angle to force peak [0]	Right angle to force peak [0]	Total right angle to force peak [0]
1	0:00:00.82	0:00:00.82	1	73	73	73	1	30,912	30,912	7	7,041	102	102	102	94	94	170	94	16	16	01:56.45	01:56.45	123	123	123	1,54	1,54	146	0,1	611	0,6	57	57	43	43	00:00.28	00:00.28	00:00.25	00:00.25	123	123	110	110
2	0:00:00.80	0:00:01.62	2	75	75	74	1	32,784	31,836	7	14,326	102	102	102	108	108	194	101	18	17	01:49.80	01:52.99	144	144	133	1,80	1,67	159	0,3	664	1,3	54	55	46	45	00:00.26	00:00.27	00:00.25	00:00.25	117	120	113	111
3	0:00:00.77	0:00:02.39	3	78	78	75	1	35,955	33,163	8	22,017	109	109	104	133	133	229	111	23	19	01:40.12	01:48.19	185	185	150	2,31	1,87	183	0,5	765	2,0	47	52	53	48	00:00.26	00:00.26	00:00.27	00:00.25	120	120	128	116
4	0:00:00.72	0:00:03.11	4	83	83	77	1	40,784	34,928	8	30,173	111	111	106	175	175	288	126	30	21	01:28.27	01:42.09	260	260	175	3,25	2,19	223	0,7	932	3,0	51	52	49	48	00:00.25	00:00.26	00:00.24	00:00.25	122	120	123	118
5	0:00:00.65	0:00:03.76	5	92	92	80	2	46,761	36,973	8	38,616	114	114	107	229	229	401	144	39	24	01:16.98	01:35.49	377	377	210	4,71	2,63	273	1,0	1144	4,1	54	52	46	48	00:00.22	00:00.25	00:00.17	00:00.23	120	120	96	114
6	0:00:00.61	0:00:04.37	6	98	98	82	2	43,961	37,949	7	46,065	115	115	108	182	229	321	149	31	25	01:21.89	01:33.07	319	377	225	3,98	2,82	223	1,2	932	5,0	46	51	54	49	00:00.20	00:00.24	00:00.21	00:00.23	120	120	122	115
7	0:00:00.57	0:00:04.94	7	105	105	85	2	50,133	39,354	8	54,003	116	116	109	243	243	413	160	41	27	01:11.80	01:29.33	455	455	252	5,68	3,15	282	1,5	1181	6,2	49	51	51	49	00:00.20	00:00.23	00:00.19	00:00.22	124	121	122	116
8	0:00:00.54	0:00:05.48	8	111	111	88	2	55,888	40,984	8	62,386	118	118	110	308	308	666	175	52	30	01:04.41	01:25.10	610	610	287	7,63	3,59	347	1,8	1454	7,7	38	48	62	52	00:00.19	00:00.23	00:00.19	00:00.22	122	121	132	118
9	0:00:00.47	0:00:05.95	9	128	128	91	2	69,604	43,244	9	71,473	120	120	111	486	486	751	199	83	34	00:51.72	01:18.95	1105	1105	352	13,81	4,40	524	2,4	2196	9,9	54	50	46	50	00:00.17	00:00.22	00:00.14	00:00.21	122	121	115	117
10	0:00:00.42	0:00:06.37	10	143	143	94	3	68,887	44,935	8	79,510	122	122	111	423	486	597	214	72	36	00:52.25	01:15.33	1075	1105	399	13,43	4,99	456	2,8	1911	11,8	55	50	45	50	00:00.15	00:00.21	00:00.12	00:00.20	123	121	108	117
11	0:00:00.41	0:00:06.78	11	146	146	97	3	67,845	46,320	8	87,237	123	123	112	396	486	513	225	67	38	00:53.06	01:12.83	1031	1105	438	12,89	5,47	429	3,2	1794	13,6	53	51	47	49	00:00.18	00:00.21	00:00.13	00:00.19	154	123	117	117
12	0:00:00.40	0:00:07.18	12	150	150	100	3	67,105	47,478	7	94,693	124	124	113	375	486	485	233	64	40	00:53.64	01:10.99	1001	1105	469	12,51	5,86	407	3,7	1702	15,3	52	51	48	49	00:00.16	00:00.21	00:00.12	00:00.19	144	124	108	116
13	0:00:00.39	0:00:07.57	13	154	154	103	3	67,033	48,486	7	101,955	125	125	113	364	486	496	240	62	41	00:53.70	01:09.52	998	1105	496	12,48	6,20	395	4,0	1655	16,9	50	51	50	49	00:00.14	00:00.20	00:00.12	00:00.18	133	125	108	116
14	0:00:00.39	0:00:07.96	14	154	154	106	3	66,636	49,375	7	109,174	125	125	114	359	486	453	246	61	42	00:54.02	01:08.33	982	1105	520	12,28	6,50	389	4,4	1630	18,6	49	51	51	49	00:00.16	00:00.20	00:00.12	00:00.18	152	126	108	115
15	0:00:00.38	0:00:08.34	15	158	158	108	3	66,284	50,146	7	116,170	125	125	114	344	486	435	250	59	43	00:54.31	01:07.36	968	1105	540	12,10	6,76	374	4,8	1567	20,1	50	51	50	49	00:00.12	00:00.19	00:00.11	00:00.17	114	125	104	115
16	0:00:00.39	0:00:08.73	16	154	158	110	3	66,096	50,858	7	123,331	125	125	115	351	486	446	255	60	43	00:54.46	01:06.52	961	1105	559	12,01	6,99	381	5,2	1597	21,7	53	51	47	49	00:00.16	00:00.19	00:00.12	00:00.17	144	126	114	115
17	0:00:00.39	0:00:09.12	17	154	158	112	3	65,275	51,475	7	130,402	125	125	115	339	486	439	258	58	44	00:55.15	01:05.84	929	1105	575	11,61	7,19	370	5,6	1547	23,3	52	51	48	49	00:00.16	00:00.19	00:00.11	00:00.16	144	127	104	114
18	0:00:00.39	0:00:09.51	18	154	158	114	3	65,880	52,065	7	137,539	125	125	116	348	486	428	262	59	45	00:54.64	01:05.19	952	1105	591	11,90	7,38	378	5,9	1584	24,9	50	51	50	49	00:00.16	00:00.19	00:00.11	00:00.16	152	128	99	114
19	0:00:00.39	0:00:09.90	19	154	158	115	3	65,034	52,576	7	144,585	125	125	116	336	486	453	265	57	45	00:55.35	01:04.67	920	1105	603	11,49	7,54	366	6,3	1533	26,4	50	51	50	49	00:00.15	00:00.18	00:00.00	00:00.15	142	129	0	109
20	0:00:00.39	0:00:10.29	20	154	158	117	3	64,303	53,021	7	151,551	125	125	116	326	486	424	267	55	45	00:55.98	01:04.24	892	1105	614	11,15	7,68	356	6,7	1490	27,9	50	51	50	49	00:00.15	00:00.18	00:00.17	00:00.15	142	129	153	111
21	0:00:00.39	0:00:10.68	21	154	158	118	3	64,455	53,438	7	158,533	125	125	117	328	486	434	270	56	46	00:55.85	01:03.85	898	1105	625	11,22	7,81	358	7,0	1498	29,4	49	51	51	49	00:00.17	00:00.18	00:00.00	00:00.14	161	130	0	107
22	0:00:00.39	0:00:11.07	22	154	158	119	3	64,020	53,811	7	165,469	125	125	117	322	486	403	271	55	46	00:56.23	01:03.51	881	1105	634	11,02	7,92	352	7,4	1473	30,9	52	51	48	49	00:00.18	00:00.18	00:00.11	00:00.14	162	131	104	107
23	0:00:00.40	0:00:11.47	23	150	158	120	3	63,565	54,151	7	172,532	125	125	117	324	486	441	273	55	46	00:56.63	01:03.22	864	1105	642	10,80	8,02	354	7,7	1484	32,3	52	51	48	49	00:00.16	00:00.18	00:00.00	00:00.14	144	132	0	103
24	0:00:00.40	0:00:11.87	24	150	158	121	3	63,166	54,455	7	179,550	125	125	118	318	486	428	275	54	47	00:56.99	01:02.96	850	1105	649	10,62	8,11	349	8,1	1460	33,8	51	51	49	49	00:00.17	00:00.18	00:00.00	00:00.13	153	132	0	99
25	0:00:00.40	0:00:12.27	25	150	158	122	3	63,561	54,752	7	186,612	125	125	118	324	486	442	276	55	47	00:56.63	01:02.71	864	1105	656	10,80	8,20	354	8,4	1484	35,3	52	51	48	49	00:00.18	00:00.18	00:00.00	00:00.13	162	133	0	96
26	0:00:00.40	0:00:12.67	26	150	158	123	3	62,151	54,985	7	193,518	125	125	118	305	486	421	277	52	47	00:57.92	01:02.54	813	1105	661	10,17	8,26	335	8,8	1402	36,7	51	51	49	49	00:00.16	00:00.18	00:00.00	00:00.12	144	134	0	93
27	0:00:00.40	0:00:13.07	27	150	158	124	3	62,385	55,212	7	200,450	125	125	118	308	486	421	278	52	47	00:57.70	01:02.37	822	1105	666	10,27	8,32	338	9,1	1416	38,1	52	51	48	49	00:00.18	00:00.18	00:00.00	00:00.12	162	135	0	90
28	0:00:00.41	0:00:13.48	28	146	158	125	3	61,192	55,394	7	207,419	125	125	118	299	486	395	279	51	47	00:58.83	01:02.25	780	1105	669	9,75	8,37	330	9,4	1382	39,5	52	51	48	49	00:00.18	00:00.18	00:00.12	00:00.12	154	135	108	91
29	0:00:00.41	0:00:13.89	29	146	158	125	3	61,604	55,577	7	214,435	125	125	119	305	486	412	280	52	48	00:58.43	01:02.12	794	1105	673	9,93	8,41	336	9,8	1406	40,9	53	51	47	49	00:00.14	00:00.18	00:00.11	00:00.12	120	135	99	91
30	0:00:00.41	0:00:14.30	30	146	158	126	3	61,546	55,748	7	221,444	125	125	119	304	486	421	280	52	48	00:58.49	01:02.00	792	1105	676	9,90	8,45	335	10,1	1402	42,3	54	51	46	49	00:00.17	00:00.18	00:00.18	00:00.12	146	135	162	93
31	0:00:00.41	0:00:14.71	31	146	158	126	3	60,750	55,888	7	228,363	125	125	119	294	486	414	281	50	48	00:59.25	01:01.92	765	1105	679	9,56	8,48	324	10,4	1358	43,7	53	51	47	49	00:00.18	00:00.18	00:00.00	00:00.11	154	136	0	90
32	0:00:00.42	0:00:15.13	32	143	158	127	3	59,797	55,996	7	235,339	125	125	119	288	486	403	281	49	48	01:00.20	01:01.87	733	1105	680	9,16	8,50	319	10,7	1337	45,0	51	51	49	49	00:00.18	00:00.18	00:00.00	00:00.11	154	136	0	88
33	0:00:00.42	0:00:15.55	33	143	158	127	3	60,195	56,110	7	242,362	125	125	119	293	486	383	281	50	48	00:59.80	01:01.81	746	1105	682	9,32	8,53	325	11,1	1359	46,4	51	51	49	49	00:00.17	00:00.18	00:00.18	00:00.11	146	136	154	90
34	0:00:00.42	0:00:15.97	34	143	158	128	3	60,024	56,212	7	249,365	125	125	119	291	486	378	281	49	48	00:59.97	01:01.76	740	1105	684	9,25	8,54	322	11,4	1350	47,7	49	51	51	49	00:00.18	00:00.18	00:00.18	00:00.11	154	137	154	91
35	0:00:00.41	0:00:16.37	35	146	158	128	3	60,502	56,320	7	256,255	124	125	120	290	486	425	282	49	48	00:59.50	01:01.70	756	1105	685	9,45	8,57	321	11,7	1344	49,0	55	51	45	49	00:00.17	00:00.17	00:00.00	00:00.11	146	137	0	89
36	0:00:00.43	0:00:16.81	36	140	158	128	2	58,059	56,364	7	263,190	125	125	120	272	486	367	281	46	48	01:02.00	01:01.71	676	1105	685	8,46	8,56	304	12,0	1272	50,3	53	51	47	49	00:00.19	00:00.18	00:00.12	00:00.11	155	138	103	89
37	0:00:00.42	0:00:17.23	37	143	158	129	3	58,813	56,424	7	270,052	125	125	120	275	486	391	281	47	48	01:01.21	01:01.70	700	1105	686	8,76	8,57	306	12,3	1283	51,6	54	51	46	49	00:00.18	00:00.18	00:00.18	00:00.11	154	138	154	91
38	0:00:00.43	0:00:17.66	38	140	158	129	2	57,193	56,443	7	276,883	125	125	120	261	486	348	281	44	48	01:02.94	01:01.72	649	1105	685	8,12	8,56	293	12,6	1226	52,8	51	51	49	49	00:00.19	00:00.18	00:00.13	00:00.11	155	138	111	92
39	0:00:00.44	0:00:18.10	39	136	158	129	2	57,533	56,469	7	283,915	126	126	120	272	486	371	281	46	48	01:02.57	01:01.74	660	1105	684	8,25	8,55	304	12,9	1273	54,1	51	51	49	49	00:00.17	00:00.18	00:00.18	00:00.11	139	138	147	93
