Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak/rev [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [0]	Total left angle to force peak [0]	Right angle to force peak [0]	Total right angle to force peak [0]
1	0:00:00.56	0:00:00.56	1	107	107	107	2	69,412	69,412	11	10,797	104	104	104	575	575	1006	575	98	98	00:51.86	00:51.86	1097	1097	1097	12,61	12,61	620	0,6	2598	2,6	48	48	52	52	00:00.18	00:00.18	00:00.15	00:00.15	108	108	104	104
2	0:00:00.45	0:00:01.01	2	133	133	119	2	75,312	72,040	9	20,211	105	105	104	576	576	960	576	98	98	00:47.80	00:49.90	1368	1368	1218	15,72	13,99	615	1,2	2575	5,2	54	50	46	50	00:00.14	00:00.16	00:00.14	00:00.14	110	109	115	109
3	0:00:00.41	0:00:01.42	3	146	146	127	3	76,374	73,292	9	28,909	107	107	104	545	576	822	567	93	96	00:47.13	00:49.04	1421	1421	1276	16,33	14,67	581	1,8	2432	7,6	52	51	48	49	00:00.13	00:00.15	00:00.13	00:00.14	111	109	117	111
4	0:00:00.39	0:00:01.81	4	154	154	133	3	75,653	73,800	8	37,105	109	109	104	506	576	733	554	86	94	00:47.58	00:48.71	1385	1421	1300	15,92	14,94	539	2,4	2258	9,9	51	51	49	49	00:00.13	00:00.14	00:00.13	00:00.13	117	111	123	114
5	0:00:00.38	0:00:02.19	5	158	158	137	3	75,489	74,093	8	45,073	109	109	105	490	576	731	543	83	92	00:47.68	00:48.53	1377	1421	1313	15,82	15,09	522	2,9	2187	12,0	52	51	48	49	00:00.13	00:00.14	00:00.13	00:00.13	123	113	123	115
6	0:00:00.38	0:00:02.57	6	158	158	140	3	74,360	74,133	8	52,923	112	112	105	470	576	668	532	80	90	00:48.41	00:48.51	1322	1421	1314	15,19	15,11	503	3,4	2104	14,2	49	51	51	49	00:00.13	00:00.14	00:00.13	00:00.13	123	115	123	117
7	0:00:00.38	0:00:02.95	7	158	158	142	3	73,260	74,020	8	60,656	115	115	105	452	576	646	521	77	89	00:49.13	00:48.59	1269	1421	1308	14,59	15,04	484	3,9	2025	16,2	52	51	48	49	00:00.14	00:00.14	00:00.13	00:00.13	133	117	123	118
8	0:00:00.37	0:00:03.32	8	162	162	145	3	75,018	74,132	8	68,366	118	118	106	469	576	646	516	80	88	00:47.98	00:48.52	1353	1421	1313	15,56	15,10	501	4,4	2096	18,3	49	51	51	49	00:00.11	00:00.13	00:00.13	00:00.13	110	116	123	118
9	0:00:00.37	0:00:03.69	9	162	162	146	3	73,421	74,060	8	75,912	120	120	107	442	576	647	508	75	86	00:49.03	00:48.57	1277	1421	1310	14,68	15,05	474	4,8	1983	20,3	54	51	46	49	00:00.14	00:00.13	00:00.14	00:00.13	133	118	140	120
10	0:00:00.38	0:00:04.07	10	158	162	147	3	73,645	74,022	8	83,685	120	120	107	458	576	613	504	78	86	00:48.88	00:48.60	1287	1421	1308	14,80	15,03	490	5,3	2052	22,3	50	51	50	49	00:00.12	00:00.13	00:00.12	00:00.13	114	117	114	120
