Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak/rev [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [0]	Total left angle to force peak [0]	Right angle to force peak [0]	Total right angle to force peak [0]
1	0:00:00.38	0:00:00.38	1	158	158	158	3	72,600	72,600	8	7,663	143	143	143	441	441	651	441	75	75	00:49.58	00:49.58	1239	1239	1239	15,48	15,48	472	0,5	1978	2,0	51	51	49	49	00:00.14	00:00.14	00:00.14	00:00.14	133	133	133	133
2	0:00:00.37	0:00:00.75	2	162	162	160	3	71,426	72,021	7	15,004	144	144	143	411	441	635	426	70	72	00:50.40	00:49.98	1185	1239	1212	14,81	15,15	441	0,9	1847	3,8	49	50	51	50	00:00.13	00:00.13	00:00.14	00:00.14	123	128	140	136
3	0:00:00.37	0:00:01.12	3	162	162	161	3	72,806	72,280	7	22,487	145	145	143	432	441	627	428	73	73	00:49.44	00:49.80	1248	1248	1224	15,60	15,30	463	1,4	1940	5,8	50	50	50	50	00:00.14	00:00.13	00:00.14	00:00.14	133	129	140	137
4	0:00:00.36	0:00:01.48	4	167	167	162	3	71,509	72,093	7	29,638	146	146	143	401	441	588	421	68	72	00:50.34	00:49.93	1189	1248	1215	14,86	15,19	430	1,8	1802	7,6	52	51	48	49	00:00.14	00:00.13	00:00.15	00:00.14	140	132	150	141
5	0:00:00.37	0:00:01.85	5	162	167	162	3	70,695	71,813	7	36,904	147	147	143	399	441	551	417	68	71	00:50.92	00:50.12	1153	1248	1203	14,41	15,04	430	2,2	1799	9,4	52	51	48	49	00:00.15	00:00.14	00:00.15	00:00.14	142	134	150	142
6	0:00:00.37	0:00:02.22	6	162	167	162	3	70,436	71,584	7	44,143	147	147	144	395	441	524	413	67	70	00:51.10	00:50.28	1141	1248	1193	14,26	14,91	426	2,7	1782	11,1	52	51	48	49	00:00.14	00:00.14	00:00.15	00:00.14	133	134	150	144
7	0:00:00.37	0:00:02.59	7	162	167	162	3	69,937	71,348	7	51,331	148	148	144	388	441	533	410	66	70	00:51.47	00:50.44	1119	1248	1182	13,99	14,78	418	3,1	1750	12,9	50	51	50	49	00:00.14	00:00.14	00:00.15	00:00.14	140	135	142	143
8	0:00:00.37	0:00:02.96	8	162	167	162	3	69,195	71,079	7	58,443	149	149	144	377	441	508	406	64	69	00:52.02	00:50.63	1088	1248	1170	13,59	14,63	407	3,5	1703	14,6	48	51	52	49	00:00.14	00:00.14	00:00.15	00:00.14	140	135	142	143
9	0:00:00.37	0:00:03.33	9	162	167	162	3	68,107	70,749	7	65,443	149	149	144	361	441	490	401	61	68	00:52.85	00:50.86	1042	1248	1156	13,02	14,45	391	3,9	1635	16,2	51	51	49	49	00:00.13	00:00.13	00:00.15	00:00.14	130	135	142	143
10	0:00:00.38	0:00:03.71	10	158	167	162	3	67,145	70,380	7	72,530	149	149	144	357	441	464	396	61	67	00:53.61	00:51.12	1003	1248	1140	12,53	14,25	387	4,3	1620	17,9	51	51	49	49	00:00.13	00:00.13	00:00.14	00:00.14	123	134	133	142
11	0:00:00.38	0:00:04.09	11	158	167	161	3	67,013	70,067	7	79,604	150	150	145	355	441	457	392	60	67	00:53.72	00:51.34	997	1248	1127	12,47	14,09	385	4,6	1611	19,5	51	51	49	49	00:00.13	00:00.13	00:00.15	00:00.14	123	133	142	142
12	0:00:00.38	0:00:04.47	12	158	167	161	3	66,425	69,757	7	86,615	150	150	145	346	441	486	388	59	66	00:54.19	00:51.56	974	1248	1114	12,17	13,93	376	5,0	1576	21,0	52	51	48	49	00:00.13	00:00.13	00:00.15	00:00.14	123	132	142	142
