Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak/rev [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [0]	Total left angle to force peak [0]	Right angle to force peak [0]	Total right angle to force peak [0]
1	0:00:00.43	0:00:00.43	1	140	140	140	2	75,080	75,080	9	8,968	141	141	141	546	546	923	546	93	93	00:47.94	00:47.94	1356	1356	1356	14,10	14,10	583	0,6	2441	2,4	54	54	46	46	00:00.16	00:00.16	00:00.16	00:00.16	131	131	137	137
2	0:00:00.41	0:00:00.84	2	146	146	143	3	75,464	75,267	9	17,562	142	142	141	528	546	796	537	90	91	00:47.70	00:47.82	1375	1375	1366	14,30	14,20	563	1,1	2358	4,8	55	54	45	46	00:00.16	00:00.16	00:00.16	00:00.16	137	134	144	140
3	0:00:00.40	0:00:01.24	3	150	150	145	3	73,784	74,789	8	25,761	143	143	142	485	546	710	520	82	88	00:48.79	00:48.13	1294	1375	1343	13,45	13,96	518	1,7	2171	7,0	54	54	46	46	00:00.16	00:00.16	00:00.16	00:00.16	144	137	144	142
4	0:00:00.39	0:00:01.63	4	154	154	147	3	74,209	74,650	8	33,800	143	143	142	480	546	681	511	82	87	00:48.51	00:48.22	1314	1375	1336	13,66	13,89	513	2,2	2148	9,1	50	53	50	47	00:00.14	00:00.15	00:00.15	00:00.15	133	136	135	140
5	0:00:00.39	0:00:02.02	5	154	154	149	3	73,158	74,362	8	41,725	144	144	142	462	546	666	501	78	85	00:49.20	00:48.40	1264	1375	1322	13,14	13,74	495	2,7	2070	11,2	50	53	50	47	00:00.15	00:00.15	00:00.16	00:00.15	142	137	144	141
6	0:00:00.39	0:00:02.41	6	154	154	149	3	72,962	74,135	8	49,629	144	144	142	458	546	619	494	78	84	00:49.34	00:48.55	1255	1375	1311	13,05	13,63	491	3,2	2056	13,2	54	53	46	47	00:00.17	00:00.15	00:00.14	00:00.15	153	140	133	140
7	0:00:00.39	0:00:02.80	7	154	154	150	3	72,789	73,948	8	57,515	145	145	143	455	546	596	489	77	83	00:49.45	00:48.67	1247	1375	1302	12,97	13,54	488	3,7	2044	15,3	54	53	46	47	00:00.13	00:00.15	00:00.14	00:00.15	117	137	133	139
8	0:00:00.40	0:00:03.20	8	150	154	150	3	71,806	73,680	8	65,493	146	146	143	450	546	656	484	77	82	00:50.13	00:48.84	1202	1375	1290	12,50	13,41	483	4,1	2024	17,3	54	53	46	47	00:00.14	00:00.15	00:00.16	00:00.15	126	135	144	139
9	0:00:00.39	0:00:03.59	9	154	154	150	3	71,535	73,447	8	73,243	147	147	144	434	546	634	479	74	81	00:50.32	00:49.00	1190	1375	1279	12,37	13,29	467	4,6	1954	19,3	51	53	49	47	00:00.17	00:00.15	00:00.00	00:00.13	161	138	0	124
10	0:00:00.40	0:00:03.99	10	150	154	150	3	71,955	73,297	8	81,238	147	147	144	453	546	584	476	77	81	00:50.03	00:49.10	1209	1375	1272	12,57	13,22	486	5,1	2035	21,3	54	53	46	47	00:00.16	00:00.15	00:00.00	00:00.12	144	139	0	111
