Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak/rev [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [0]	Total left angle to force peak [0]	Right angle to force peak [0]	Total right angle to force peak [0]
1	0:00:00.39	0:00:00.39	1	154	154	154	3	75,350	75,350	8	8,163	138	138	138	500	500	659	500	85	85	00:47.77	00:47.77	1370	1370	1370	14,49	14,49	534	0,5	2234	2,2	52	52	48	48	00:00.12	00:00.12	00:00.12	00:00.12	108	108	114	114
2	0:00:00.37	0:00:00.76	2	162	162	158	3	77,835	76,560	8	16,163	138	138	138	518	518	678	509	88	86	00:46.25	00:47.01	1495	1495	1431	15,82	15,14	551	1,1	2306	4,5	49	50	51	50	00:00.13	00:00.12	00:00.14	00:00.13	130	118	133	123
3	0:00:00.37	0:00:01.13	3	162	162	159	3	73,888	75,685	8	23,757	140	140	138	450	518	613	490	76	83	00:48.72	00:47.54	1299	1495	1388	13,75	14,68	481	1,6	2015	6,6	48	50	52	50	00:00.15	00:00.13	00:00.11	00:00.12	150	129	104	117
4	0:00:00.37	0:00:01.50	4	162	162	160	3	75,231	75,573	8	31,489	141	141	139	472	518	564	485	80	83	00:47.85	00:47.62	1364	1495	1382	14,43	14,62	504	2,1	2111	8,7	51	50	49	50	00:00.15	00:00.13	00:00.10	00:00.11	142	132	100	113
5	0:00:00.37	0:00:01.87	5	162	162	160	3	74,366	75,334	8	39,132	143	143	140	458	518	604	480	78	82	00:48.40	00:47.77	1322	1495	1370	13,99	14,50	489	2,6	2049	10,7	54	51	46	49	00:00.13	00:00.13	00:00.13	00:00.12	123	130	130	116
6	0:00:00.37	0:00:02.24	6	162	162	161	3	73,534	75,037	8	46,690	144	144	140	444	518	528	474	76	81	00:48.95	00:47.96	1282	1495	1355	13,57	14,34	475	3,0	1990	12,7	51	51	49	49	00:00.13	00:00.13	00:00.10	00:00.11	123	129	100	114
7	0:00:00.38	0:00:02.62	7	158	162	160	3	73,609	74,830	8	54,459	145	145	141	457	518	542	472	78	80	00:48.90	00:48.09	1286	1495	1345	13,61	14,24	490	3,5	2050	14,8	51	51	49	49	00:00.15	00:00.13	00:00.11	00:00.11	142	131	104	112
8	0:00:00.37	0:00:02.99	8	162	162	161	3	73,332	74,644	8	61,996	146	146	141	441	518	523	468	75	80	00:49.09	00:48.21	1273	1495	1336	13,47	14,14	472	4,0	1976	16,7	49	51	51	49	00:00.11	00:00.13	00:00.11	00:00.11	110	128	104	111
9	0:00:00.38	0:00:03.37	9	158	162	160	3	72,245	74,374	8	69,622	147	147	142	435	518	513	464	74	79	00:49.83	00:48.38	1222	1495	1323	12,93	14,00	467	4,5	1953	18,7	51	51	49	49	00:00.10	00:00.13	00:00.12	00:00.11	95	125	114	111
10	0:00:00.38	0:00:03.75	10	158	162	160	3	71,508	74,083	8	77,170	148	148	143	423	518	482	460	72	78	00:50.34	00:48.57	1189	1495	1310	12,58	13,86	454	4,9	1902	20,6	50	51	50	49	00:00.10	00:00.12	00:00.10	00:00.11	95	122	95	110
11	0:00:00.38	0:00:04.13	11	158	162	160	3	71,848	73,878	8	84,754	150	150	143	428	518	515	457	73	78	00:50.10	00:48.70	1204	1495	1300	12,74	13,76	460	5,4	1926	22,5	51	51	49	49	00:00.10	00:00.12	00:00.11	00:00.11	95	119	104	109
12	0:00:00.38	0:00:04.51	12	158	162	160	3	70,790	73,618	7	92,226	151	151	144	412	518	488	453	70	77	00:50.85	00:48.87	1157	1495	1288	12,24	13,63	443	5,8	1854	24,4	51	51	49	49	00:00.10	00:00.12	00:00.11	00:00.11	95	117	104	109
13	0:00:00.39	0:00:04.90	13	154	162	159	3	69,940	73,325	8	99,803	151	151	144	409	518	480	450	69	76	00:51.47	00:49.06	1120	1495	1275	11,85	13,49	441	6,3	1845	26,2	49	51	51	49	00:00.10	00:00.12	00:00.11	00:00.11	95	115	99	108
14	0:00:00.39	0:00:05.29	14	154	162	159	3	69,210	73,022	7	107,301	155	155	145	397	518	484	446	68	76	00:52.01	00:49.26	1088	1495	1261	11,52	13,34	429	6,7	1796	28,0	50	51	50	49	00:00.10	00:00.11	00:00.11	00:00.11	95	114	99	107
15	0:00:00.39	0:00:05.68	15	154	162	158	3	68,925	72,740	7	114,768	155	155	146	393	518	487	442	67	75	00:52.23	00:49.44	1076	1495	1248	11,39	13,21	424	7,1	1777	29,8	50	51	50	49	00:00.10	00:00.11	00:00.12	00:00.11	95	113	108	107
16	0:00:00.40	0:00:06.08	16	150	162	158	3	67,961	72,426	8	122,319	159	159	146	388	518	454	439	66	75	00:52.97	00:49.65	1036	1495	1234	10,96	13,06	420	7,5	1758	31,5	50	51	50	49	00:00.11	00:00.11	00:00.10	00:00.11	99	112	90	106
17	0:00:00.40	0:00:06.48	17	150	162	157	3	67,499	72,122	7	129,819	159	159	147	381	518	464	435	65	74	00:53.33	00:49.85	1017	1495	1221	10,76	12,92	413	7,9	1728	33,3	51	51	49	49	00:00.10	00:00.11	00:00.10	00:00.11	90	110	90	105
18	0:00:00.40	0:00:06.88	18	150	162	157	3	67,208	71,836	7	137,287	159	159	148	376	518	445	432	64	73	00:53.56	00:50.04	1005	1495	1208	10,64	12,79	408	8,4	1709	35,0	50	51	50	49	00:00.10	00:00.11	00:00.10	00:00.11	90	109	90	104
19	0:00:00.40	0:00:07.28	19	150	162	157	3	66,652	71,551	7	144,692	161	161	149	368	518	450	428	63	73	00:54.01	00:50.23	983	1495	1196	10,40	12,65	400	8,8	1673	36,7	49	50	51	50	00:00.10	00:00.11	00:00.11	00:00.11	90	108	99	104
20	0:00:00.41	0:00:07.69	20	146	162	156	3	66,059	71,258	8	152,216	162	162	149	368	518	454	425	63	72	00:54.49	00:50.43	959	1495	1183	10,15	12,52	400	9,2	1676	38,3	52	51	48	49	00:00.11	00:00.11	00:00.11	00:00.11	94	107	99	104
21	0:00:00.41	0:00:08.10	21	146	162	156	3	65,899	70,987	8	159,721	162	162	150	366	518	438	422	62	72	00:54.62	00:50.61	953	1495	1172	10,08	12,40	398	9,6	1666	40,0	52	51	48	49	00:00.11	00:00.11	00:00.11	00:00.11	94	107	99	104
22	0:00:00.42	0:00:08.52	22	143	162	155	3	64,503	70,667	8	167,246	163	163	150	354	518	409	419	60	71	00:55.81	00:50.83	899	1495	1158	9,52	12,26	386	9,9	1617	41,6	51	51	49	49	00:00.11	00:00.11	00:00.11	00:00.11	94	106	94	103
23	0:00:00.42	0:00:08.94	23	143	162	154	3	64,605	70,383	8	174,783	164	164	151	355	518	417	416	60	71	00:55.72	00:51.02	903	1495	1146	9,56	12,13	388	10,3	1623	43,2	51	51	49	49	00:00.10	00:00.11	00:00.11	00:00.11	86	105	94	103
24	0:00:00.42	0:00:09.36	24	143	162	154	3	63,669	70,081	7	182,211	165	165	152	341	518	405	412	58	70	00:56.54	00:51.23	868	1495	1134	9,19	12,00	374	10,7	1564	44,8	51	51	49	49	00:00.10	00:00.11	00:00.10	00:00.11	86	104	86	102
25	0:00:00.42	0:00:09.78	25	143	162	153	3	64,061	69,823	7	189,685	166	166	152	347	518	438	409	59	70	00:56.19	00:51.41	883	1495	1123	9,34	11,88	379	11,1	1589	46,4	50	51	50	49	00:00.10	00:00.11	00:00.11	00:00.11	86	103	94	102
