Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak/rev [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [0]	Total left angle to force peak [0]	Right angle to force peak [0]	Total right angle to force peak [0]
1	0:00:00.99	0:00:00.99	1	61	61	61	1	30,653	30,653	8	8,430	155	155	155	111	111	211	111	19	19	01:57.44	01:57.44	120	120	120	1,46	1,46	174	0,2	727	0,7	44	44	56	56	00:00.31	00:00.31	00:00.26	00:00.26	112	112	96	96
2	0:00:00.96	0:00:01.95	2	63	63	62	1	28,212	29,451	8	15,953	156	156	155	86	111	214	99	15	17	02:07.60	02:02.05	96	120	108	1,17	1,32	146	0,3	613	1,3	64	53	36	47	00:00.26	00:00.28	00:00.20	00:00.23	98	105	75	85
3	0:00:01.01	0:00:02.96	3	59	63	61	1	29,270	29,389	8	24,165	157	157	156	100	111	228	99	17	17	02:02.99	02:02.37	106	120	107	1,29	1,31	164	0,5	685	2,0	34	46	66	54	00:00.30	00:00.29	00:00.29	00:00.25	106	105	104	92
4	0:00:00.96	0:00:03.92	4	63	63	61	1	31,392	29,880	8	32,536	160	160	157	115	115	207	103	20	18	01:54.67	02:00.31	128	128	112	1,56	1,37	176	0,7	736	2,8	47	46	53	54	00:00.26	00:00.28	00:00.24	00:00.24	98	103	90	91
5	0:00:00.85	0:00:04.77	5	71	71	63	1	43,745	32,351	10	42,865	160	160	157	250	250	631	129	43	22	01:22.29	01:48.58	314	314	148	3,83	1,81	307	1,0	1285	4,0	29	40	71	60	00:00.30	00:00.28	00:00.22	00:00.24	117	106	102	93
6	0:00:00.69	0:00:05.46	6	87	87	66	2	49,301	34,493	9	52,314	161	161	158	281	281	650	149	48	25	01:13.02	01:40.18	435	435	185	5,30	2,25	328	1,3	1374	5,4	37	40	63	60	00:00.22	00:00.27	00:00.21	00:00.23	110	106	115	96
7	0:00:00.53	0:00:05.99	7	113	113	70	2	71,316	37,751	10	62,813	161	161	158	586	586	927	187	100	32	00:50.47	01:26.73	1180	1180	273	14,39	3,33	629	1,9	2635	8,1	48	42	52	58	00:00.19	00:00.26	00:00.17	00:00.22	122	108	122	98
8	0:00:00.44	0:00:06.43	8	136	136	75	2	75,854	40,358	9	72,084	162	162	158	574	586	824	214	98	36	00:47.45	01:19.14	1395	1395	349	17,01	4,26	613	2,5	2565	10,6	54	44	46	56	00:00.16	00:00.25	00:00.14	00:00.21	125	109	120	99
9	0:00:00.41	0:00:06.84	9	146	146	79	3	75,316	42,454	9	80,662	162	162	159	525	586	769	232	89	40	00:47.79	01:14.57	1368	1395	411	16,68	5,01	560	3,1	2346	13,0	54	45	46	55	00:00.15	00:00.23	00:00.15	00:00.20	129	110	135	102
10	0:00:00.38	0:00:07.22	10	158	158	83	3	75,172	44,176	8	88,597	162	162	159	484	586	687	246	82	42	00:47.89	01:11.46	1361	1395	461	16,60	5,62	517	3,6	2164	15,1	51	46	49	54	00:00.14	00:00.22	00:00.15	00:00.20	133	111	142	104
